Experiment,Threshold,Strain,Replicate,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170601,-5,EV,A,299.96484,0.9464739,23.095266,5.332708267,3.0793688
20170601,-5,EV,A,361.65625,0.89072704,27.683014,6.429444444,3.691068533
20170601,-5,EV,A,331.60938,0.9521368,23.885393,5.895277867,3.184719067
20170601,-5,EV,A,223.33594,0.99311066,17.582966,3.970416711,2.344395467
20170601,-5,EV,A,510.4297,0.950362,29.899664,9.074305778,3.986621867
20170601,-5,EV,A,495.64062,0.8887696,31.22268,8.8113888,4.163024
20170601,-5,EV,A,258.03247,0.9856949,19.429827,4.587243911,2.5906436
20170601,-5,EV,A,279.35156,0.98099667,20.491388,4.966249956,2.732185067
20170601,-5,EV,A,242.89062,0.9872524,18.465418,4.318055467,2.462055733
20170601,-5,EV,A,296.26562,0.99592566,19.966667,5.266944356,2.662222267
20170601,-5,EV,A,283.78125,0.9782727,21.210129,5.045,2.8280172
20170601,-5,EV,A,270.67188,0.96025085,21.840876,4.811944533,2.9121168
20170601,-5,EV,A,400.53125,0.9132545,28.412752,7.120555556,3.788366933
20170601,-5,EV,A,193.03125,0.9930227,15.953233,3.431666667,2.127097733
20170601,-5,EV,A,263.96875,0.98911214,19.667091,4.692777778,2.6222788
20170601,-5,EV,A,240.1875,0.99101233,18.247114,4.27,2.432948533
20170601,-5,EV,A,187.01562,0.99610525,15.852459,3.324722133,2.1136612
20170601,-5,EV,A,408.40625,0.9209751,25.02564,7.260555556,3.336752
20170601,-5,EV,A,215.40625,0.98296744,17.867102,3.829444444,2.382280267
20170601,-5,EV,A,312.57812,0.98779035,20.992805,5.556944356,2.799040667
20170601,-5,EV,A,194.40625,0.9841465,17.267649,3.456111111,2.3023532
20170601,-5,EV,A,308.67188,0.97984993,21.605902,5.487500089,2.880786933
20170601,-5,EV,A,254.32812,0.9658553,20.859364,4.5213888,2.781248533
20170601,-5,EV,A,496.125,0.9776926,26.640589,8.82,3.552078533
20170601,-5,EV,A,345.125,0.852307,29.052696,6.135555556,3.8736928
20170601,-5,EV,A,226.89551,0.98559326,17.824455,4.033697956,2.376594
20170601,-5,EV,A,348.71875,0.9866724,22.394342,6.199444444,2.985912267
20170601,-5,EV,A,185.75,0.98703724,16.336798,3.302222222,2.178239733
20170601,-5,EV,A,373.625,0.96092135,24.293604,6.642222222,3.2391472
20170601,-5,EV,A,168.42188,0.98467535,15.787939,2.994166756,2.105058533
20170601,-5,EV,A,280.89062,0.87472,25.137026,4.993611022,3.351603467
20170601,-5,EV,A,387.8125,0.94685256,24.775492,6.894444444,3.303398933
20170601,-5,EV,A,169.58594,0.98782694,15.786243,3.014861156,2.1048324
20170601,-5,EV,A,326.39062,0.966562,22.424189,5.802499911,2.989891867
20170601,-5,EV,A,273.98438,0.9591995,21.692467,4.870833422,2.892328933
