Experiment,Strain,Replicate,Time,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170606,EV,A,,250.52051,0.9891816,19.235384,4.453697956,2.564717867
20170606,EV,A,,481.7251,0.92468923,29.15476,8.564001778,3.887301333
20170606,EV,A,,342.48438,0.96745396,23.769728,6.0886112,3.169297067
20170606,EV,A,,600.4453,0.93087953,33.286633,10.67458311,4.438217733
20170606,EV,A,,258.1797,0.9913762,19.646883,4.589861333,2.6195844
20170606,EV,A,,231.11328,0.98480934,19.235384,4.108680533,2.564717867
20170606,EV,A,,201.11719,0.99313337,17.088007,3.575416711,2.278400933
20170606,EV,A,,322.07812,0.98257184,22.203604,5.725833244,2.960480533
20170606,EV,A,,445.78516,0.9503868,28.01785,7.925069511,3.735713333
20170606,EV,A,,325.76562,0.9771372,22.847319,5.7913888,3.0463092
20170606,EV,A,,543.0244,0.7783423,39.824615,9.653767111,5.309948667
20170606,EV,A,,178.32812,0.97924215,16.763054,3.170277689,2.235073867
20170606,EV,A,,457.82812,0.97134894,27.513634,8.139166578,3.668484533
20170606,EV,A,,306.53125,0.9870908,21.540659,5.449444444,2.872087867
20170606,EV,A,,398.0078,0.9613168,26.41969,7.075694222,3.522625333
20170606,EV,A,,214.71875,0.96624064,19.235384,3.817222222,2.564717867
20170606,EV,A,,512.98047,0.7439462,37.336308,9.1196528,4.9781744
20170606,EV,A,,315,0.9673178,23.086792,5.6,3.078238933
20170606,EV,A,,263.15625,0.9549876,22.472204,4.678333333,2.996293867
20170606,EV,A,,375.3125,0.97271043,25.317978,6.672222222,3.3757304
20170606,EV,A,,339.76562,0.9580399,23.853722,6.040277689,3.180496267
20170606,EV,A,,273.07422,0.98640627,21.400934,4.8546528,2.853457867
20170606,EV,A,,527.84375,0.9403777,31.400637,9.383888889,4.1867516
20170606,EV,A,,979.65625,0.9023793,38.027607,17.41611111,5.0703476
20170606,EV,A,,441.84375,0.9235028,25.816942,7.855,3.442258933
20170606,EV,A,,450.0254,0.9331816,29.15476,8.000451556,3.887301333
20170606,EV,A,,459.4336,0.9369276,28.653097,8.167708444,3.820412933
20170606,EV,A,,340.04297,0.9523761,24.351591,6.045208356,3.2468788
20170606,EV,A,,269.23438,0.92649,22.847319,4.786388978,3.0463092
20170606,EV,A,,185.75,0.99039227,16.492422,3.302222222,2.1989896
20170606,EV,A,,885.375,0.38039356,80.36168,15.74,10.71489067
20170606,EV,A,,361.23438,0.9017672,28.600698,6.421944533,3.8134264
20170606,EV,A,,388.4922,0.970771,25.23886,6.906528,3.365181333
20170606,EV,A,,341.95312,0.95804375,25.553865,6.079166578,3.407182
20170606,EV,A,,307.25,0.9141883,25.079872,5.462222222,3.343982933
20170606,EV,A,,281.17188,0.97938955,20.880613,4.9986112,2.784081733
20170606,EV,A,,701.80566,0.923858,34.88553,12.47654507,4.651404
20170606,EV,A,,543.9375,0.964669,30.232433,9.67,4.030991067
20170606,EV,A,,244.73438,0.94953007,21.540659,4.350833422,2.872087867
20170606,EV,A,,442.375,0.9660657,25.70992,7.864444444,3.427989333
20170606,EV,A,,405.78125,0.9710449,24.41311,7.213888889,3.255081333
20170606,EV,A,,489.29688,0.97063655,28.635643,8.6986112,3.818085733
20170606,EV,A,,321.28125,0.9053432,25.553865,5.711666667,3.407182
20170606,EV,A,,471.71875,0.8898784,31.38471,8.386111111,4.184628
20170606,EV,A,,429.6914,0.9191924,29.068884,7.638958222,3.8758512
20170606,EV,A,,534.44824,0.94895667,31.06445,9.501302044,4.141926667
20170606,EV,A,,544.3125,0.8837916,33.734257,9.676666667,4.497900933
20170606,EV,A,,557.67896,0.90281785,34.88553,9.914292622,4.651404
20170606,EV,A,,386.97266,0.98182315,23.769728,6.879513956,3.169297067
20170606,EV,A,,295.65723,0.97244084,21.400934,5.256128533,2.853457867
20170606,EV,A,,317.6211,0.9931141,21.400934,5.646597333,2.853457867
20170606,EV,A,,284.76172,0.9886028,21.260292,5.062430578,2.8347056
20170606,EV,A,,427.7251,0.87388676,31.144823,7.604001778,4.152643067
20170606,EV,A,,386.25,0.98481613,23.769728,6.866666667,3.169297067
20170606,EV,A,,278.39844,0.96366554,21.931713,4.9493056,2.9242284
20170606,EV,A,,377.0547,0.9336687,27.018513,6.703194667,3.6024684
20170606,EV,A,,236.3584,0.9887705,18.681541,4.201927111,2.490872133
20170606,EV,A,,286.125,0.9851137,20.615528,5.086666667,2.748737067
20170606,EV,A,,244.01562,0.97710663,19.416489,4.338055467,2.5888652
20170606,EV,A,,262.90625,0.95164925,21.84033,4.673888889,2.912044
20170606,EV,A,,348.16406,0.9445022,25.298222,6.189583289,3.373096267
20170606,EV,A,,328.27344,0.9531287,23.769728,5.835972267,3.169297067
20170606,EV,A,,444.4668,0.78541684,35.510563,7.901632,4.734741733
