Growth_phase,Strain,Area_px,Area
earlylog,cdrS,332.875,5.917777778
earlylog,cdrS,1138.75,20.24444444
earlylog,cdrS,249.25,4.431111111
earlylog,cdrS,457.375,8.131111111
earlylog,cdrS,314.875,5.597777778
earlylog,cdrS,2320.5,41.25333333
earlylog,cdrS,582.25,10.35111111
earlylog,cdrS,2377.625,42.26888889
earlylog,cdrS,1502.625,26.71333333
earlylog,cdrS,571.125,10.15333333
earlylog,cdrS,533.125,9.477777778
earlylog,cdrS,409.375,7.277777778
earlylog,cdrS,796.75,14.16444444
earlylog,cdrS,377.375,6.708888889
earlylog,cdrS,1529,27.18222222
earlylog,cdrS,517.375,9.197777778
earlylog,cdrS,496.375,8.824444444
earlylog,cdrS,390.5,6.942222222
earlylog,cdrS,675.75,12.01333333
earlylog,cdrS,1498.875,26.64666667
earlylog,cdrS,416.875,7.411111111
earlylog,cdrS,1642.25,29.19555556
earlylog,cdrS,1025.125,18.22444444
earlylog,cdrS,381.375,6.78
earlylog,cdrS,469.125,8.34
earlylog,cdrS,3499.375,62.21111111
earlylog,cdrS,759.875,13.50888889
earlylog,cdrS,499.125,8.873333333
earlylog,cdrS,1678.75,29.84444444
earlylog,cdrS,299,5.315555556
earlylog,cdrS,212.875,3.784444444
earlylog,cdrS,181.875,3.233333333
earlylog,cdrS,497.625,8.846666667
earlylog,cdrS,815.75,14.50222222
earlylog,cdrS,841.375,14.95777778
earlylog,cdrS,794,14.11555556
earlylog,cdrS,770.25,13.69333333
earlylog,cdrS,453.375,8.06
earlylog,cdrS,252.625,4.491111111
earlylog,cdrS,763.5,13.57333333
earlylog,cdrS,682.5,12.13333333
earlylog,cdrS,280.125,4.98
earlylog,cdrS,855.625,15.21111111
earlylog,cdrS,323.375,5.748888889
earlylog,cdrS,430.75,7.657777778
earlylog,cdrS,1737,30.88
earlylog,cdrS,605.25,10.76
earlylog,cdrS,520.5,9.253333333
earlylog,cdrS,1336,23.75111111
earlylog,cdrS,743.25,13.21333333
earlylog,cdrS,992.5,17.64444444
earlylog,cdrS,672.5,11.95555556
earlylog,cdrS,931.875,16.56666667
earlylog,cdrS,237.875,4.228888889
earlylog,cdrS,388.75,6.911111111
earlylog,cdrS,457.5,8.133333333
earlylog,cdrS,893.125,15.87777778
earlylog,cdrS,439.25,7.808888889
earlylog,cdrS,690.625,12.27777778
earlylog,cdrS,101.5,1.804444444
earlylog,cdrS,704.5,12.52444444
earlylog,cdrS,1602.625,28.49111111
earlylog,cdrS,268.75,4.777777778
earlylog,cdrS,149,2.648888889
earlylog,cdrS,865.625,15.38888889
earlylog,cdrS,710.75,12.63555556
earlylog,cdrS,1339.375,23.81111111
earlylog,cdrS,447.25,7.951111111
earlylog,cdrS,1831.5,32.56
earlylog,cdrS,1186.125,21.08666667
earlylog,cdrS,2807,49.90222222
earlylog,cdrS,433.125,7.7
earlylog,cdrS,230.875,4.104444444
earlylog,cdrS,289.125,5.14
earlylog,cdrS,347.5,6.177777778
earlylog,cdrS,255.875,4.548888889
earlylog,cdrS,1585.875,28.19333333
earlylog,cdrS,180.5,3.208888889
earlylog,cdrS,138.375,2.46
earlylog,cdrS,409.125,7.273333333
earlylog,cdrS,466.25,8.288888889
earlylog,cdrS,1202,21.36888889
earlylog,cdrS,553.125,9.833333333
earlylog,cdrS,460.625,8.188888889
earlylog,cdrS,1315.875,23.39333333
earlylog,cdrS,117.5,2.088888889
earlylog,cdrS,559.375,9.944444444
earlylog,cdrS,1662.375,29.55333333
earlylog,cdrS,441.125,7.842222222
earlylog,cdrS,410.875,7.304444444
earlylog,cdrS,342.75,6.093333333
earlylog,cdrS,513.75,9.133333333
earlylog,cdrS,639,11.36
earlylog,cdrS,658.75,11.71111111
earlylog,cdrS,1767.375,31.42
earlylog,cdrS,4453.125,79.16666667
earlylog,cdrS,115.25,2.048888889
earlylog,cdrS,149.875,2.664444444
earlylog,cdrS,685.75,12.19111111
earlylog,cdrS,456.5,8.115555556
earlylog,cdrS,152.875,2.717777778
earlylog,cdrS,2569.5,45.68
earlylog,cdrS,1310.125,23.29111111
earlylog,cdrS,447.75,7.96
earlylog,cdrS,188.375,3.348888889
earlylog,cdrS,947.75,16.84888889
earlylog,cdrS,357.625,6.357777778
earlylog,cdrS,462.625,8.224444444
earlylog,cdrS,679.375,12.07777778
earlylog,cdrS,161.75,2.875555556
earlylog,cdrS,2149.875,38.22
earlylog,cdrS,417.125,7.415555556
earlylog,cdrS,205.375,3.651111111
earlylog,cdrS,601.25,10.68888889
earlylog,cdrS,1178.625,20.95333333
earlylog,cdrS,1104.875,19.64222222
earlylog,cdrS,740.25,13.16
earlylog,cdrS,456.375,8.113333333
earlylog,cdrS,187.625,3.335555556
earlylog,cdrS,149,2.648888889
earlylog,cdrS,301.625,5.362222222
earlylog,cdrS,299.25,5.32
earlylog,cdrS,370,6.577777778
earlylog,cdrS,583.25,10.36888889
earlylog,cdrS,321.375,5.713333333
earlylog,cdrS,521.125,9.264444444
earlylog,cdrS,745.875,13.26
earlylog,cdrS,305.875,5.437777778
earlylog,cdrS,1952.25,34.70666667
earlylog,cdrS,226,4.017777778
earlylog,cdrS,477.75,8.493333333
earlylog,cdrS,465.25,8.271111111
earlylog,cdrS,534.625,9.504444444
earlylog,cdrS,223.375,3.971111111
earlylog,cdrS,449.75,7.995555556
earlylog,cdrS,158.375,2.815555556
earlylog,cdrS,206.25,3.666666667
earlylog,cdrS,638.875,11.35777778
earlylog,cdrS,1585.125,28.18
earlylog,cdrS,543.625,9.664444444
earlylog,cdrS,612.125,10.88222222
earlylog,cdrS,105.25,1.871111111
earlylog,cdrS,557,9.902222222
earlylog,cdrS,292.125,5.193333333
earlylog,cdrS,341.75,6.075555556
earlylog,cdrS,728.25,12.94666667
earlylog,cdrS,464.625,8.26
earlylog,cdrS,630,11.2
earlylog,cdrS,768.375,13.66
earlylog,cdrS,590.5,10.49777778
earlylog,cdrS,571.25,10.15555556
earlylog,cdrS,216.875,3.855555556
earlylog,cdrS,290,5.155555556
earlylog,cdrS,568.875,10.11333333
earlylog,cdrS,1107.25,19.68444444
earlylog,cdrS,341,6.062222222
earlylog,cdrS,602.75,10.71555556
earlylog,cdrS,251.125,4.464444444
earlylog,cdrS,339.875,6.042222222
