Growth_phase,Strain,Length_px,Length
earlylog,cdrS,35.44009,4.725345333
earlylog,cdrS,150.6851,20.09134667
earlylog,cdrS,27.294687,3.6392916
earlylog,cdrS,60.133186,8.017758133
earlylog,cdrS,37.215588,4.9620784
earlylog,cdrS,229.12006,30.54934133
earlylog,cdrS,62.39391,8.319188
earlylog,cdrS,266.6777,35.55702667
earlylog,cdrS,168.34488,22.445984
earlylog,cdrS,57.870544,7.716072533
earlylog,cdrS,46.09772,6.146362667
earlylog,cdrS,46.173584,6.156477867
earlylog,cdrS,81.3019,10.84025333
earlylog,cdrS,34.713108,4.6284144
earlylog,cdrS,183,24.4
earlylog,cdrS,68.593,9.145733333
earlylog,cdrS,59.808025,7.974403333
earlylog,cdrS,45.310043,6.041339067
earlylog,cdrS,77.36925,10.3159
earlylog,cdrS,190.27611,25.370148
earlylog,cdrS,33.12099,4.416132
earlylog,cdrS,201.80437,26.90724933
earlylog,cdrS,107.67079,14.35610533
earlylog,cdrS,61.03278,8.137704
earlylog,cdrS,42.190044,5.6253392
earlylog,cdrS,286.40005,38.18667333
earlylog,cdrS,92.39589,12.319452
earlylog,cdrS,44.294468,5.905929067
earlylog,cdrS,134.45073,17.926764
earlylog,cdrS,34.48188,4.597584
earlylog,cdrS,26,3.466666667
earlylog,cdrS,21.377558,2.850341067
earlylog,cdrS,92.7847,12.37129333
earlylog,cdrS,86.145226,11.48603013
earlylog,cdrS,53.823788,7.176505067
earlylog,cdrS,80.32434,10.709912
earlylog,cdrS,85.75546,11.43406133
earlylog,cdrS,56.603886,7.5471848
earlylog,cdrS,39.319206,5.2425608
earlylog,cdrS,85.2115,11.36153333
earlylog,cdrS,84.21995,11.22932667
earlylog,cdrS,27.202942,3.627058933
earlylog,cdrS,119.57006,15.94267467
earlylog,cdrS,28.460499,3.7947332
earlylog,cdrS,49.0408,6.538773333
earlylog,cdrS,160.80112,21.44014933
earlylog,cdrS,81.25269,10.833692
earlylog,cdrS,56.293873,7.505849733
earlylog,cdrS,155.46382,20.72850933
earlylog,cdrS,38.483765,5.131168667
earlylog,cdrS,108.706024,14.49413653
earlylog,cdrS,53.310413,7.108055067
earlylog,cdrS,118.40608,15.78747733
earlylog,cdrS,38.013157,5.068420933
earlylog,cdrS,39.39543,5.252724
earlylog,cdrS,46.52956,6.203941333
earlylog,cdrS,106.89247,14.25232933
earlylog,cdrS,57.306194,7.640825867
earlylog,cdrS,80.80842,10.774456
earlylog,cdrS,16.155495,2.154066
earlylog,cdrS,88.09086,11.745448
earlylog,cdrS,183.32484,24.443312
earlylog,cdrS,29.12044,3.882725333
earlylog,cdrS,18.248287,2.433104933
earlylog,cdrS,83.725746,11.1634328
earlylog,cdrS,97.20082,12.96010933
earlylog,cdrS,107.70329,14.36043867
earlylog,cdrS,44.14748,5.886330667
earlylog,cdrS,205.29977,27.37330267
earlylog,cdrS,133.9291,17.85721333
earlylog,cdrS,310.44,41.392
earlylog,cdrS,53.600372,7.146716267
earlylog,cdrS,31.906113,4.2541484
earlylog,cdrS,37.215588,4.9620784
earlylog,cdrS,33.955853,4.527447067
earlylog,cdrS,62.369865,8.315982
earlylog,cdrS,187.25652,24.967536
earlylog,cdrS,18.681541,2.490872133
earlylog,cdrS,18.973665,2.529822
earlylog,cdrS,42.379242,5.6505656
earlylog,cdrS,49.658836,6.621178133
earlylog,cdrS,145.49915,19.39988667
earlylog,cdrS,59.48109,7.930812
earlylog,cdrS,54.91812,7.322416
earlylog,cdrS,150.26643,20.035524
earlylog,cdrS,19.646883,2.6195844
earlylog,cdrS,57.00877,7.601169333
earlylog,cdrS,174.87424,23.31656533
earlylog,cdrS,44.65423,5.953897333
earlylog,cdrS,43.011627,5.7348836
earlylog,cdrS,42.059483,5.607931067
earlylog,cdrS,57.245087,7.632678267
earlylog,cdrS,75,10
earlylog,cdrS,43.174065,5.756542
earlylog,cdrS,172.46739,22.995652
earlylog,cdrS,239.71024,31.96136533
earlylog,cdrS,18.027756,2.4037008
earlylog,cdrS,29.410883,3.921451067
earlylog,cdrS,57.271286,7.636171467
earlylog,cdrS,30.083218,4.011095733
earlylog,cdrS,21.213203,2.828427067
earlylog,cdrS,302.3971,40.31961333
earlylog,cdrS,171.30382,22.84050933
earlylog,cdrS,46.69047,6.225396
earlylog,cdrS,35.128338,4.6837784
earlylog,cdrS,152.42703,20.323604
earlylog,cdrS,39.812057,5.308274267
earlylog,cdrS,59.5399,7.938653333
earlylog,cdrS,100.02,13.336
earlylog,cdrS,28.442924,3.792389867
