area,m.d
4.15,ura3.D
3.46,ura3.D
4.7,ura3.D
3.48,ura3.D
4.55,ura3.D
4.31,ura3.D
5.09,ura3.D
4.17,ura3.D
4.07,ura3.D
3.8,ura3.D
3.03,ura3.D
3.05,ura3.D
3.52,ura3.D
3.01,ura3.D
4.39,ura3.D
5.03,ura3.D
4.83,ura3.D
3.68,ura3.D
5.59,ura3.D
5.34,ura3.D
4.68,ura3.D
8.47,ura3.D
6.19,ura3.D
5.83,ura3.D
4.8,ura3.D
5.67,ura3.D
4.09,ura3.D
1.99,ura3.D
2.98,ura3.D
2.52,ura3.D
2.86,ura3.D
4.06,ura3.D
4.72,ura3.D
3.07,ura3.D
3.59,ura3.D
2.58,ura3.D
5.45,ura3.D
4.77,ura3.D
3.13,ura3.D
7.24,ura3.D
2.97,ura3.D
3.18,ura3.D
2.81,ura3.D
4.61,ura3.D
2.53,ura3.D
3.47,ura3.D
4.13,ura3.D
4.96,ura3.D
4.69,ura3.D
5.48,ura3.D
6.41,ura3.D
4.09,ura3.D
5.52,ura3.D
3.47,ura3.D
3.34,ura3.D
3.57,ura3.D
4.61,ura3.D
2.91,ura3.D
3.99,ura3.D
5.01,ura3.D
5.36,ura3.D
5.67,ura3.D
6.33,ura3.D
4.9,ura3.D
1.94,ura3.D
4.91,ura3.D
10.16,ura3.D
3.71,ura3.D
3.88,ura3.D
4.29,ura3.D
6.16,ura3.D
5.24,ura3.D
1.96,ura3.D
3.35,ura3.D
4.58,ura3.D
4.03,ura3.D
2.93,ura3.D
7.12,ura3.D
5.84,ura3.D
3.03,ura3.D
5.52,ura3.D
5.05,ura3.D
5.28,ura3.D
4.21,ura3.D
8.18,ura3.D
7.73,ura3.D
5.21,ura3.D
5.83,ura3.D
3.66,ura3.D
4.45,ura3.D
1.87,ura3.D
3.03,ura3.D
11.85,ura3.D
3.43,ura3.D
3.82,ura3.D
3.62,ura3.D
9.09,ura3.D
4.52,ura3.D
2.77,ura3.D
6.08,ura3.D
4.71,ura3.D
6.54,ura3.D
4,ura3.D
3.47,ura3.D
4.46,ura3.D
3.65,ura3.D
4.61,ura3.D
2.95,ura3.D
5.32,ura3.D
4.48,ura3.D
4.88,ura3.D
5.04,ura3.D
5.41,ura3.D
6.42,ura3.D
4.64,ura3.D
7.64,ura3.D
3.03,ura3.D
3.6,ura3.D
3.46,ura3.D
3.78,ura3.D
3.03,ura3.D
3.54,ura3.D
5.37,ura3.D
5.67,ura3.D
6.07,ura3.D
5.49,ura3.D
4.9,ura3.D
1.94,ura3.D
4.91,ura3.D
10.16,ura3.D
3.71,ura3.D
3.88,ura3.D
4.29,ura3.D
6.16,ura3.D
5.24,ura3.D
1.96,ura3.D
3.35,ura3.D
4.58,ura3.D
4.03,ura3.D
