ura3,cdrS
4.15,9.43
4.9,7.06
3.46,7.35
1.94,4.55
4.7,6.57
4.91,4.87
3.48,12.03
10.16,7.09
4.55,5.12
3.71,6.17
4.31,5.28
3.88,6.45
5.09,4.63
4.29,52.87
4.17,3.08
6.16,50.09
4.07,23.02
5.24,6.22
3.8,2.72
1.96,39.88
3.03,6.76
3.35,58.89
3.05,9.35
4.58,12.35
3.52,7.72
4.03,10.78
3.01,3.9
2.93,45.59
4.39,9.46
7.12,29.02
5.03,45.38
5.84,10.19
4.83,9.6
3.03,8.02
3.68,17.1
5.52,25.05
5.59,20.2
5.05,18.93
5.34,4.61
5.28,5.51
4.68,25.93
4.21,5.02
8.47,4.55
8.18,4.83
6.19,3.59
7.73,3.63
5.83,5.75
5.21,4.73
4.8,14.89
5.83,8.8
5.67,4.95
3.66,3.71
4.09,21.34
4.45,7.32
1.99,6.83
1.87,5.59
2.98,4.8
3.03,4.55
2.52,3.93
11.85,3.71
2.86,
3.43,
4.06,
3.82,
4.72,
3.62,
3.07,
9.09,
3.59,
4.52,
2.58,
2.77,
5.45,
6.08,
4.77,
4.71,
3.13,
6.54,
7.24,
4,
2.97,
3.47,
3.18,
4.46,
2.81,
3.65,
4.61,
4.61,
2.53,
2.95,
3.47,
5.32,
4.13,
4.48,
4.96,
4.88,
4.69,
5.04,
5.48,
5.41,
6.41,
6.42,
4.09,
4.64,
5.52,
7.64,
3.47,
3.03,
3.34,
3.6,
3.57,
3.46,
4.61,
3.78,
2.91,
3.03,
3.99,
3.54,
5.01,
5.37,
5.36,
5.67,
5.67,
6.07,
6.33,
5.49,
