ura3,cdrS
13.64,16.50
9.05,11.9
5.4,11.44
9.61,19.12
8.26,11.29
8.19,11.73
9.38,57.5
10.33,53.17
9.31,29.24
5.76,42.6
6.38,65.65
7.63,21.7
7.55,18.5
5.94,49.49
11.51,38.48
10.87,55.57
7.86,17.62
9.2,42.15
10.64,11.99
10.62,10.12
8.89,30.95
16.65,9.38
13.92,7.22
11.04,10.48
10.63,23.69
9.33,8.66
8.54,28.66
3.86,12.42
6.01,9.35
14.37,7.64
6.29,
7.88,
8.34,
12.16,
8.11,
5.35,
11.53,
9.48,
9.67,
11.24,
6.44,
7.64,
6.46,
9.22,
5.48,
8.79,
8.61,
9.84,
9.73,
10.89,
12.83,
8.73,
13.16,
6.5,
6.94,
7.03,
8.39,
5.94,
7.53,
10.38,
11.03,
11.74,
11.82,
