Probe Name,Sample,Condition,Category,Strain,Replicate,Run,VNG0194H,VNG0195H,VNG1065C,csg,dpsA,ftsZ1,ftsZ2,ftsZ3,ftsZ4,ftsZ5,hpyA,mc1,minD1,minD2,sojA,sojB,sojC1,sojC2,sojD,sojE,coxA2,eif1a2,mrp
20190204_Darnell3_CD77_08.RCC,CD77,anaerobic,7,cdrL,A,Run03,170577.11,51.21,306.3,334291.06,112388.53,9454.6,212923.3,1160.45,2499.65,4822.48,4240.8,26926.06,1427.13,314.03,12392.92,47598.64,708.25,42.51,1107.3,698.59,28337.72,46171.52,6940.46
20190206_Darnell5_CD78_05.RCC,CD78,anaerobic,7,cdrL,B,Run05,173745.77,37.69,393.42,401420.78,134323.52,8182.83,218572.05,1148.1,2708.92,3871.72,4507.82,38797.18,1460.63,261.06,14073.13,56664.82,460.53,35.85,999.18,1137.98,23311.21,43697.5,5792.87
20190205_Darnell4_CD79_12.RCC,CD79,anaerobic,7,cdrL,C,Run04,194500.06,81.56,465.68,382183.38,153936.25,8813.65,240594.12,1086.58,2480.98,4501.54,3988.5,52634.57,1754.84,178.9,14951.63,31131.9,510.4,52.62,565.65,499.88,21326.39,40353.34,6024.85
20190208_Darnell7_CD80_05.RCC,CD80,anaerobic,7,cdrL,D,Run07,190147.92,42.85,439.25,420642.19,128219.58,8774.38,242928.55,1251.01,2956.11,6352.3,4797.19,47727.97,1631.75,299.15,18520.4,48895.74,718.63,46.15,1105.97,834.01,21949.56,41566.04,5866.07
20190129_aschmid-cdarell-20190126_CD-73_11.RCC,CD73,anaerobic,7,cdrS,A,Run01,20.45,2485.22,377.49,289542.66,134407.28,6479,116592.17,907.97,2318.78,4552.58,4197.75,23787.71,1053.86,207.51,4588.7,69286.59,754.28,22.66,1291.12,1026.95,24142.54,43973.32,5737.47
20190206_Darnell5_CD74_11.RCC,CD74,anaerobic,7,cdrS,B,Run05,15.27,3067.24,293.27,400608.41,150095.75,7854.42,182176.75,1115.28,2464.32,5164.12,3969.48,39211.74,1568.99,282.06,6281.99,59637.91,905.68,38.81,1370.6,1075.61,28308.19,48272.88,5924.03
20190130_aschmid-20190116-2_CD-75_06.RCC,CD75,anaerobic,7,cdrS,C,Run02,23.25,3558.33,369.62,397334.31,136949.25,9350.03,192311.7,1270.57,2798.23,4641.11,4243.17,43254.43,1668.5,293.61,8184.54,46061.6,710.18,40.24,996.33,1143.14,27367.5,39617.85,6190.38
20190130_aschmid-20190116-2_CD-76_01.RCC,CD76,anaerobic,7,cdrS,D,Run02,21.18,4106.25,428.8,498716.66,136554.38,6447.9,120056.04,1237.77,2594.3,6243.06,5508.21,48157.59,1525.5,351.49,6231.11,58231.93,710.94,52.6,1100.69,603.34,19675.26,47501.64,6082.86
20190129_aschmid-cdarell-20190126_CD-81_09.RCC,CD81,anaerobic,7,ftsZ2,A,Run01,207065.33,3259.33,353.83,410101.88,127505.86,9230.56,18.63,1286.81,2567.93,5848.41,4206.14,37872.3,1280.31,287.95,28270.83,62143.6,1136.33,38.23,1755.34,678.38,25302.7,44762.68,5136.67
20190204_Darnell3_CD82_09.RCC,CD82,anaerobic,7,ftsZ2,B,Run03,184679.8,3553.69,323.51,370348.16,94637.63,9919.87,17.57,1434.91,2733.86,6742.11,3860,23152.65,1332.53,244.88,31748.17,71037.8,998.38,30.3,1410.34,641.29,27515.52,45021.08,5231.85
20190212_Darnell8_CD83_12.RCC,CD83,anaerobic,7,ftsZ2,C,Run08,180866.84,3310.92,348.88,361226.53,98374.55,7051.59,12.1,1258.06,2677.85,6752.38,4724.94,34378.82,1251.13,251.84,24581.22,59683.21,645.78,36.97,1059.36,545.27,24619.34,46657.88,5407.68
20190206_Darnell5_CD84_10.RCC,CD84,anaerobic,7,ftsZ2,D,Run05,176284.42,4310.81,396.62,439289.47,115667.86,7384.98,20.37,1385.19,3181.12,6752.17,4708.92,50086.86,1528.54,393.65,21598.64,54570.73,762.04,41.59,1392.62,673.66,23392.34,43195.05,5672.99
20190208_Darnell7_CD69_02.RCC,CD69,anaerobic,7,ura3,A,Run07,137564.08,2661.11,422.17,245929.7,71093.71,7470.51,165770.08,842.24,2539.89,4079.42,4120.01,27185.09,1275.48,236.65,10258.64,46551.81,623.51,37.27,1167.43,716.8,24910.84,38106.77,5823.98
20190129_aschmid-cdarell-20190126_CD-70_05.RCC,CD70,anaerobic,7,ura3,B,Run01,218171.69,3928.81,380.97,374782.47,90347.35,8049.37,257787.5,1105.74,2823.06,4155.19,5026.95,57875.35,1381.12,297.34,18472.4,46049.23,569.34,34.63,1167.41,511.9,23155.55,45429.2,5237.28
20190205_Darnell4_CD71_02.RCC,CD71,anaerobic,7,ura3,C,Run04,280258.88,4238.4,363.49,461824.12,132772.25,11981.36,346969.03,1104.18,3727.46,5575.76,3977.78,69312.88,1615.12,277.76,24775.42,37360.3,521.23,51.44,620.67,713.26,25793.87,42744.03,5856.94
20190129_aschmid-cdarell-20190126_CD-72_07.RCC,CD72,anaerobic,7,ura3,D,Run01,252608.27,4613.82,392.25,491318.72,117923.3,8090.98,302927.94,1427.06,3348.22,7046.42,5240.12,70462.07,1418.39,314.23,24179.75,51332.81,692.4,43.34,1197.34,759.58,20320.1,50279.58,5756.98
20190129_aschmid-cdarell-20190126_CD-21_10.RCC,CD21,aphid,5,cdrL,A,Run01,81817.79,24.73,415.87,413138.97,200668.67,6354.89,102077.6,743.31,2366.32,9550.69,2669.04,17467.89,768.04,146.12,4997.14,10551.02,131.88,47.21,505.78,257.01,25360.36,37998.96,4738.63
20190130_aschmid-20190116-2_CD-16_08.RCC,CD16,aphid,5,cdrL,B,Run02,89263.63,21.31,413.8,603730.69,207973.88,7187.75,109088.94,810.82,2933.48,10710.61,3001.7,18305.44,908.11,148.74,5845.71,11358.14,197.95,58.16,436.16,348.93,29314.65,33037.7,5966.49
