ura3,cdrS
0.54,0.43
0.46,0.57
0.36,0.38
0.64,0.62
0.51,0.43
0.49,0.57
0.74,0.37
0.26,0.63
0.45,0.55
0.55,0.45
0.47,0.55
0.53,0.45
0.46,0.08
0.54,0.92
0.60,0.06
0.40,0.94
0.44,0.79
0.56,0.21
0.66,0.06
0.34,0.94
0.47,0.10
0.53,0.90
0.40,0.43
0.60,0.57
0.47,0.42
0.53,0.58
0.51,0.08
0.49,0.92
0.38,0.25
0.62,0.75
0.46,
0.54,
0.61,
0.39,
0.40,
0.60,
0.53,
0.47,
0.50,
0.50,
0.53,
0.47,
0.51,
0.49,
0.44,
0.56,
0.53,
0.47,
0.45,
0.55,
0.61,
0.39,
0.48,
0.52,
0.52,
0.48,
0.50,
0.50,
0.18,
0.82,
0.45,
0.55,
0.52,
0.48,
0.57,
0.43,
0.25,
0.75,
0.44,
0.56,
0.48,
0.52,
0.47,
0.53,
0.50,
0.50,
0.32,
0.68,
0.64,
0.36,
0.46,
0.54,
0.42,
0.58,
0.43,
0.57,
0.50,
0.50,
0.46,
0.54,
0.39,
0.61,
0.48,
0.52,
0.50,
0.50,
0.48,
0.52,
0.50,
0.50,
0.50,
0.50,
0.47,
0.53,
0.42,
0.58,
0.53,
0.47,
0.48,
0.52,
0.51,
0.49,
0.55,
0.45,
0.49,
0.51,
0.53,
0.47,
0.48,
0.52,
0.49,
0.51,
0.48,
0.52,
0.54,
0.46,
