"OD0.2_ura3_1","OD0.2_ura3_2","OD0.2_cdrS_1","OD0.2_cdrS_3","OD0.2_cdrS_4","OD0.2_ura3_3","OD0.2_ura3_4","OD0.7_ura3_1","OD0.7_ura3_2","OD0.7_cdrS_1","OD0.7_cdrS_3","OD0.7_cdrS_4","OD0.7_ura3_3","OD0.7_ura3_4","OD1.5_ura3_1","OD1.5_ura3_2","OD1.5_cdrS_1","OD1.5_cdrS_3","OD1.5_cdrS_4","OD1.5_ura3_3","OD1.5_ura3_4","OD2.0_ura3_1","OD2.0_ura3_2","OD2.0_cdrS_1","OD2.0_cdrS_3","OD2.0_cdrS_4","OD2.0_ura3_3","OD2.0_ura3_4","OD0.2_ura3_5","OD0.2_ura3_6","OD0.2_ura3_7","OD0.2_ura3_8"
"coxA2",-3.90467623149442e-05,0.265259121860116,-0.0522968904532321,0.0311448273336952,0.0661364269308477,-0.0967152703819125,-0.197381012518579,-0.292136453158304,-0.0873112393984138,-0.275486907349888,-0.467234194073929,-0.620475192795615,-0.659229987006599,-0.608968685059348,-0.209954090921735,0.106521930754135,-0.346506191396764,-0.236515810265812,-0.247727830960307,-0.267960519030234,-0.379966635919635,-0.592270450059699,-0.380991347268969,-0.46684899115297,-0.629455650518083,-0.933343120944915,-0.818054231108411,-0.703995095000765,-0.17534151685084,-0.0162037058300477,-0.158221363161241,-0.0574942670558559
"csg",-0.102467796939164,0.216599297118479,0.0562810147045437,-0.0798432177396432,0.63607017587677,0.442344168911828,0.114246985861385,0.982477434389277,0.4450885619454,0.840224342657625,1.07510716873749,1.15547951426502,1.04708615524583,1.1846975583138,0.170359575043877,0.374135986963073,0.491740225903277,0.467235151169346,0.225487449437571,0.25320293426374,0.415096300253213,-0.54430923865149,-0.228403862523521,-0.290666708717354,-0.422503721861615,-0.559050971224416,-0.421059099848371,-0.728449300159358,-0.0633196908797002,0.0329783305381661,-0.0542546411656205,-0.0526560172095152
"dpsA",-0.203231318505326,-0.274772018971309,-0.0695440755148409,0.116987778189639,0.110713069349783,0.413818028466743,0.570098816483937,1.6583408525298,1.01526593019471,1.66911030540098,1.62021490368761,1.74396040588091,1.66073696442508,1.73447293365146,1.71338347287477,1.43373244688123,1.89539674986892,2.00613769211364,1.7534988428173,1.73861301230378,1.96515555516621,1.20018378635503,0.404997338054143,1.17336756370468,0.812409964404312,0.228008301605124,0.779749064343675,1.22954103208758,-0.00545499949249873,0.293541322720289,0.00721739681834332,0.268563080508694
"eif1a2",0.0541886735788561,-0.0477273022073753,-0.0519023313918887,0.255354320582562,0.206958127163584,0.50606751027633,0.525680102672271,0.251093929083856,0.108547204367598,0.260348762399397,0.488042307703421,0.586135151904968,0.576847568336762,0.620790411615956,0.382164198832661,0.260991804613651,0.453244210215454,0.536029854920677,0.576398315901845,0.590346864237598,0.545723338906051,0.158645709455892,-0.0641374815646918,0.0615046297899291,0.035097404758274,-0.158983162987965,0.00888124671502933,0.273050995855314,-0.062354070388361,0.0394277234559393,0.0135894497353325,0.0114879263649142
"ftsZ1",-0.221966651632406,-0.34993068906755,-0.585654263486932,-0.611383652808472,-0.499685866897117,-0.399129140311721,-0.48347550806873,-0.471459914714866,-0.735034969921133,-0.574450676021105,-0.668027330468026,-0.835069673344146,-0.826655638590325,-0.624375921360516,-0.317913044815721,-0.0497174419586262,-0.438714410475715,-0.321984545865153,-0.362696156539419,-0.538371916397527,-0.505888212864703,-0.552340630933493,-0.640489436557286,-0.537457181521214,-0.730724710718154,-1.37550161292265,-0.89984219384,-0.636821729537222,-0.384011059864374,-0.103882354232468,-0.258702318085003,-0.116946490158159
"ftsZ2",-0.43814879926332,-0.71097248959899,-1.18883019453558,-1.15981535781545,-1.12403853945518,-0.30319545580087,-0.25527411607889,0.179079843113266,-0.284921111414885,-0.230781294760138,-0.426975660588577,-0.639161729580137,-0.114954793905247,0.049176306749646,0.135007840388907,0.175712623324603,-0.218508024489389,0.0447111964801641,-0.0674033301203198,0.22240175625227,0.304045905631822,-0.240482082415526,-0.487412899802445,-0.634363982064427,-0.696799301442165,-1.13535658331843,-0.510233464127122,-0.360621717929086,-0.66408988657692,-0.159801462804301,-0.352658423823022,-0.240739401784475
"ftsZ3",-0.401960665845317,-0.732485349410877,-0.941757976664594,-0.862087857173643,-0.743833122581184,-0.513734328281739,-0.471982499518634,-0.397439571056909,-0.782449442897468,-0.541455454053364,-0.706618664904285,-0.73295172410903,-0.563360321709517,-0.54910166059982,-0.538513115867692,-0.420678874281144,-0.522105332834285,-0.515055858606128,-0.362551834796548,-0.537352026764356,-0.615930901629384,-1.00410220067007,-1.42955685206374,-1.25635002981426,-1.34392341516454,-1.93616289624684,-1.51650440012238,-0.976691239743497,-0.601235430700807,-0.339791647976323,-0.444960654624675,-0.214585910100237
"ftsZ4",-0.302728574782809,-0.214105547395817,-0.468014238196989,-0.143647949429602,0.0384962710007279,-0.0597883055638824,-0.0726004814505549,0.187381103175267,-0.25127698612473,0.273378429857272,0.128673644221869,0.00474871996061688,-0.0650137903267487,0.187654458230211,0.444943476527015,0.28136125133462,0.129614829770427,0.480154676958877,0.322282022940226,0.373703227771218,0.627945401115204,0.616664731720251,0.64345766311857,0.64221589064087,0.419770100082281,0.159130175250491,0.472173785876489,0.500696459351054,-0.311063839875209,-0.259813628806024,-0.403940193381848,-0.36414170523409
"ftsZ5",0.281858216677437,-0.14333888812486,0.107071036282935,0.276072073228173,0.286379964326828,0.476741501839168,0.567617517112175,0.778336994510516,0.0367750759806901,0.728965089100302,0.709944314509816,0.400353932274717,0.605795499127872,0.757312102230426,0.127806300263462,-0.614467306352982,-0.0821169611172264,-0.0260043769521675,-0.364910521978346,-0.246148184188018,-0.137660869475503,-0.713862547836557,-1.15710476880244,-0.89511841313176,-1.03094472621533,-1.24802411860204,-0.78565418652974,-0.707704966792739,0.325749742019192,0.431978273867593,0.423670970403701,0.45796079263488
"hpyA",0.017189119961128,-0.0678617179110174,-0.0529805011312265,-0.0589289052942007,-0.0729577161057774,0.240582861901606,0.226009542834202,-0.0945208334201675,0.0381907656316869,-0.216665686806775,0.299250956354846,0.191903123292268,0.277104214149442,0.147959642271005,-0.396435524279797,-0.0317658432357472,-0.297334141496091,-0.301728485701564,-0.166805259168252,-0.29994954987006,-0.303748804582686,-0.568511916909706,-0.227789971726167,-0.394972266519769,-0.563967661113893,-0.594867843976568,-0.640102468400295,-0.528823179185093,-0.294100612613174,0.0200173042514331,0.0193374661843461,-0.0458992683383672
