,Time,Replicate,ura3,cdrS
OD0.2_ura3_1,1,1,1,0
OD0.2_ura3_2,1,2,1,0
OD0.2_cdrS_1,1,1,0,1
OD0.2_cdrS_3,1,3,0,1
OD0.2_cdrS_4,1,4,0,1
OD0.2_ura3_3,1,3,1,0
OD0.2_ura3_4,1,4,1,0
OD0.7_ura3_1,2,1,1,0
OD0.7_ura3_2,2,2,1,0
OD0.7_cdrS_1,2,1,0,1
OD0.7_cdrS_3,2,3,0,1
OD0.7_cdrS_4,2,4,0,1
OD0.7_ura3_3,2,3,1,0
OD0.7_ura3_4,2,4,1,0
OD1.5_ura3_1,3,1,1,0
OD1.5_ura3_2,3,2,1,0
OD1.5_cdrS_1,3,1,0,1
OD1.5_cdrS_3,3,3,0,1
OD1.5_cdrS_4,3,4,0,1
OD1.5_ura3_3,3,3,1,0
OD1.5_ura3_4,3,4,1,0
OD2.0_ura3_1,4,1,1,0
OD2.0_ura3_2,4,2,1,0
OD2.0_cdrS_1,4,1,0,1
OD2.0_cdrS_3,4,3,0,1
OD2.0_cdrS_4,4,4,0,1
OD2.0_ura3_3,4,3,1,0
OD2.0_ura3_4,4,4,1,0
OD0.2_ura3_5,1,5,1,0
OD0.2_ura3_6,1,6,1,0
OD0.2_ura3_7,1,7,1,0
OD0.2_ura3_8,1,8,1,0
