ura3,cdrS,ftsZ2
9.63,11.55,7.22
6.42,8.89,6.80
6.80,8.25,6.80
6.80,8.89,7.22
9.63,6.42,6.80
8.25,5.78,7.70
8.89,8.25,8.89
8.25,8.89,6.80
8.89,8.89,8.25
8.89,8.89,6.80
12.84,10.50,5.50
7.22,11.55,7.22
10.50,11.55,6.80
7.22,6.08,7.22
5.02,6.08,10.50
7.70,6.80,5.78
8.89,6.08,6.08
12.84,6.42,12.84
14.44,7.22,9.63
5.25,4.44,6.80
4.81,7.70,7.70
4.81,12.84,9.63
7.22,7.22,6.80
8.89,6.80,9.63
7.70,5.50,7.70
6.80,8.25,14.44
7.70,6.80,6.80
8.25,6.08,7.22
6.80,6.42,8.89
8.89,6.42,7.70
6.42,9.63,6.80
6.80,11.55,9.63
4.44,6.80,7.70
5.25,5.50,7.22
8.89,6.42,6.42
6.42,8.25,8.89
4.44,7.70,8.89
6.80,5.50,6.80
7.22,6.08,6.08
5.78,6.42,7.22
6.42,6.42,7.70
4.81,6.80,6.80
8.25,7.70,14.44
6.42,6.42,12.84
8.25,8.25,11.55
6.42,6.80,7.70
6.80,5.02,8.89
5.78,7.22,7.70
4.28,11.55,12.84
7.70,8.89,8.89
5.78,6.08,8.25
7.22,7.70,6.42
4.81,6.08,7.22
5.25,6.80,7.70
8.89,9.63,10.50
6.08,5.25,7.22
4.81,5.02,9.63
4.81,8.89,9.63
7.22,7.70,12.84
6.80,8.25,8.25
5.25,12.84,7.70
6.08,6.42,7.70
5.78,8.25,8.25
10.50,6.08,8.89
8.25,8.25,7.70
5.02,9.63,8.25
5.50,7.70,8.25
5.78,10.50,8.25
5.25,8.89,7.70
5.50,7.70,10.50
8.89,9.63,8.25
8.25,12.84,6.08
7.22,8.89,7.22
8.25,8.89,6.42
4.44,8.89,8.89
5.78,8.89,6.80
4.81,14.44,8.89
6.80,8.89,7.22
7.22,14.44,10.50
8.25,7.70,6.08
,14.44,6.80
,6.42,8.25
,10.50,6.08
,8.89,6.42
,8.89,7.70
,8.89,6.42
,4.28,12.84
,9.63,10.50
,8.25,5.78
,9.63,5.25
,9.63,7.22
,10.50,7.22
,10.50,7.70
,5.25,8.89
,10.50,13.10
,6.80,11.55
,5.50,10.50
,8.25,11.55
,7.70,7.22
,12.84,9.63
,9.63,8.25
,6.80,8.89
,7.22,12.84
,9.63,8.25
,7.70,5.25
,5.02,7.70
,6.80,6.42
,6.08,4.81
,,8.89
,,6.80
