Strain,Label,Area_px,Area_micron,Length_px,Length_micron
ura3,ura3A,1650.1914,4.1254785,51.971146,2.5985573
ura3,ura3A,2675.9375,6.68984375,165.14842,8.257421
ura3,ura3A,1574.2812,3.935703,77.801025,3.89005125
ura3,ura3A,1847.9062,4.6197655,91.525955,4.57629775
ura3,ura3A,801.3281,2.00332025,55.081757,2.75408785
ura3,ura3A,1276.5547,3.19138675,64.49806,3.224903
ura3,ura3A,1004.1406,2.5103515,76.41989,3.8209945
ura3,ura3A,1574.0938,3.9352345,91.02197,4.5510985
ura3,ura3A,1871.707,4.6792675,112.11155,5.6055775
ura3,ura3A,2784.5938,6.9614845,155.28362,7.764181
ura3,ura3A,1013.53125,2.533828125,39.661064,1.9830532
ura3,ura3A,801.15625,2.002890625,56.0803,2.804015
ura3,ura3A,1155.2812,2.888203,58.694122,2.9347061
ura3,ura3A,5486.875,13.7171875,254.95097,12.7475485
ura3,ura3A,899.1875,2.24796875,110.88733,5.5443665
ura3,ura3A,2548.711,6.3717775,144.00694,7.200347
ura3,ura3A,1418.2656,3.545664,101.91173,5.0955865
ura3,ura3A,2138.4531,5.34613275,99.32271,4.9661355
ura3,ura3A,1723.0781,4.30769525,113.15918,5.657959
ura3,ura3A,883.0078,2.2075195,51.62364,2.581182
ura3,ura3A,2356.6484,5.891621,115.88356,5.794178
ura3,ura3A,1300.5625,3.25140625,60.207973,3.01039865
ura3,ura3A,1365.2266,3.4130665,90.44335,4.5221675
ura3,ura3A,1293.7734,3.2344335,77.87811,3.8939055
ura3,ura3A,2195.291,5.4882275,127.88276,6.394138
ura3,ura3A,2349.7598,5.8743995,142.28493,7.1142465
ura3,ura3A,1967.5312,4.918828,111.0045,5.550225
ura3,ura3A,2769.3594,6.9233985,174.88853,8.7444265
ura3,ura3A,2944.4062,7.3610155,162.05246,8.102623
ura3,ura3A,2277.8438,5.6946095,113.71895,5.6859475
ura3,ura3A,3790.496,9.47624,218.02065,10.9010325
ura3,ura3A,4539.047,11.3476175,256.12497,12.8062485
ura3,ura3A,2674.1875,6.68546875,134.37262,6.718631
ura3,ura3A,1460.793,3.6519825,103.16007,5.1580035
ura3,ura3A,1380.7285,3.45182125,82.07923,4.1039615
ura3,ura3A,266.625,0.6665625,36.23534,1.811767
ura3,ura3A,2373.0469,5.93261725,127.88276,6.394138
ura3,ura3A,5056.3438,12.6408595,316.2183,15.810915
ura3,ura3A,2402.7812,6.006953,126.65702,6.332851
ura3,ura3A,2490.8281,6.22707025,137.93114,6.896557
